wdfi_address_raw,wdfi_address,standardized
"%LIOR LUSTIG, 40 DERBY AVE, GREENLAWN, NY 11740","40 DERBY AVE, GREENLAWN, NY 11740",TRUE
"%MILWAUKEE INVESTMENT REALTY, 10330 W FOREST HOME AVE, HALES CORNERS, WI 53130","10330 W FOREST HOME AVE, HALES CORNERS, WI 53130",TRUE
"1 ASHTON SQ, GREENSBORO, NC 27408-3832","1 ASHTON SQ, GREENSBORO, NC 27408",TRUE
"1 JABOTINSKY ST, KADIMA, ISRAEL 60920","1 JABOTINSKY ST, KADIMA, ISRAEL 60920",FALSE
"10 SEAGATE DR, APT 3S, NAPLES, FL 34103-2467","10 SEAGATE DR, APT 3S, NAPLES, FL 34103",TRUE
"100 S MAIN ST, JANESVILLE, WI 53545-3925","100 S MAIN ST, JANESVILLE, WI 53545",TRUE
"1000 E HENRY CLAY ST, WHITEFISH BAY, WI 53217-5714","1000 E HENRY CLAY ST, MILWAUKEE, WI 53217",TRUE
"1000 HIGHLAND COLONY PARKWAY STE 5203, RIDGELAND, MS 39157","1000 HIGHLAND COLONY PKWY, STE 5203, RIDGELAND, MS 39157",TRUE
"1000 N WATER ST STE 1700, MILWAUKEE, WI 53202","1000 N WATER ST, STE 1700, MILWAUKEE, WI 53202",TRUE
"1000 N WATER ST, STE 1700, MILWAUKEE, WI 53202-3197","1000 N WATER ST, STE 1700, MILWAUKEE, WI 53202",TRUE
"1000 W RIVERVIEW DR, GLENDALE, WI 53209-4536","1000 W RIVERVIEW DR, MILWAUKEE, WI 53209",TRUE
"10001 W APPLETON AVE, SUITE 100, MILWAUKEE, WI 53225","10001 W APPLETON AVE, STE 100, MILWAUKEE, WI 53225",TRUE
"10005 W BEECHWOOD AVE, MILWAUKEE, WI 53224-4531","10005 W BEECHWOOD AVE, MILWAUKEE, WI 53224",TRUE
"1001 E LOCUST ST, MILWAUKEE, WI 53212-2637","1001 E LOCUST ST, MILWAUKEE, WI 53212",TRUE
"1001 W GLEN OAKS LN, STE 238, MEQUON, WI 53092-3369","1001 W GLEN OAKS LN, STE 238, MEQUON, WI 53092",TRUE
"10015 W MAGNOLIA ST, MILWAUKEE, WI 53224","10015 W MAGNOLIA ST, MILWAUKEE, WI 53224",TRUE
"10015 W Magnolia Street, Milwaukee, WI 53224","10015 W MAGNOLIA ST, MILWAUKEE, WI 53224",TRUE
"10029 N. VINTAGE ROAD, MEQUON, WI 53092","10029 N VINTAGE CT, MEQUON, WI 53092",TRUE
"1003 S 74TH ST, MILWAUKEE, WI 53214","1003 S 74TH ST, MILWAUKEE, WI 53214",TRUE
"1003 S 74TH, MILWAUKEE, WI 53214","1003 S 74TH ST, MILWAUKEE, WI 53214",TRUE
"1003 WOODS DR, HARTLAND, WI 53029","1003 WOODS DR, HARTLAND, WI 53029",TRUE
"1003 WOODS DR., HARTLAND, WI 53029","1003 WOODS DR, HARTLAND, WI 53029",TRUE
"1004 E BRADY ST, MILWAUKEE, WI 53202-1515","1004 E BRADY ST, MILWAUKEE, WI 53202",TRUE
"1005 E CIRCLE DR, MILWAUKEE, WI 53217-5364","1005 E CIRCLE DR, MILWAUKEE, WI 53217",TRUE
"1005 MASTERS ST, BELOIT, WI 53511","1005 MASTERS ST, BELOIT, WI 53511",TRUE
"1005 MASTERS ST, BELOIT, WI 53511-4820","1005 MASTERS ST, BELOIT, WI 53511",TRUE
"10050 CROSSTOWN CIRCLE, SUITE 600, EDEN PRAIRIE, MN 55344","10050 CROSSTOWN CIR, STE 600, EDEN PRAIRIE, MN 55344",TRUE
